# clubelo_20240614.csv — point-in-time club ratings, verbatim clubelo.com free-API CSV response.
# SOURCE: clubelo.com free API, endpoint http://api.clubelo.com/2024-06-14 (no account/key).
#   Accessed 2026-06-10. Snapshot as-of 2024-06-14 for euro2024 (UEFA Euro 2024 opened 2024-06-14).
# clubelo.com terms: free to use, attribution appreciated (recorded in SOURCES.md).
# Point-in-time: the /<YYYY-MM-DD> route returns each club's Elo as-of that date,
#   reflecting ONLY club results known before it (leakage-safe, strictly pre-cutoff).
# Columns are the verbatim clubelo response: Rank,Club,Country,Level,Elo,From,To.
# The build script (scripts/build_squad_z.py) skips '#' lines; the join key is `Club`.
Rank,Club,Country,Level,Elo,From,To
None,Sepsi,ROM,1,1352.57861328,2024-05-19,2024-07-09
None,Kilmarnock,SCO,1,1352.35046387,2024-05-19,2024-07-25
None,Sabah,AZE,0,1351.09143066,2024-03-15,2024-07-11
None,Excelsior,NED,1,1349.70288086,2024-05-20,2024-07-05
None,Viitorul,ROM,1,1349.66235352,2024-05-19,2024-07-09
None,Yverdon Sport,SUI,1,1349.10314941,2024-05-22,2024-07-20
None,Fredrikstad,NOR,1,1347.7980957,2024-06-03,2024-07-08
None,Bohemians Praha,CZE,1,1347.77038574,2024-05-26,2024-07-20
None,Pardubice,CZE,1,1346.46203613,2024-05-26,2024-07-19
None,Rapid Bucuresti,ROM,1,1346.26843262,2024-05-20,2024-07-09
None,Osnabrueck,GER,2,1346.11523438,2024-06-02,2024-07-05
None,Nizhny Novgorod,RUS,1,1344.84020996,2024-05-26,2024-07-22
None,Aberdeen,SCO,1,1344.78796387,2024-05-20,2024-07-25
None,Teplice,CZE,1,1344.60510254,2024-05-26,2024-07-21
None,Bnei Sakhinin,ISR,1,1343.50561523,2024-05-26,2024-07-23
None,Stal Mielec,POL,1,1342.47338867,2024-05-26,2024-07-11
None,Korona,POL,1,1342.38049316,2024-05-26,2024-07-11
None,Mjaellby,SWE,1,1341.24230957,2024-06-03,2024-07-06
None,Backa Topola,SRB,1,1340.92150879,2024-05-24,2024-07-21
None,Widzew,POL,1,1340.14697266,2024-05-26,2024-07-11
None,Rukh Lviv,UKR,1,1340.05224609,2024-05-26,2024-07-23
None,Molenbeek,BEL,1,1338.08215332,2024-05-12,2024-07-05
None,Odd Grenland,NOR,1,1336.53015137,2024-06-03,2024-06-28
None,FK Astana,KAZ,0,1336.01538086,2024-01-01,2024-07-10
None,AIK,SWE,1,1335.05334473,2024-06-03,2024-07-07
None,Hatayspor,TUR,1,1334.49865723,2024-05-27,2024-07-23
None,Warta,POL,1,1334.43261719,2024-05-26,2024-07-05
None,Puszcza Niepolomice,POL,1,1333.20202637,2024-05-26,2024-07-11
None,Eupen,BEL,1,1331.28259277,2024-05-12,2024-07-05
None,Vaduz,LIE,0,1331.23083496,2024-03-15,2024-07-23
None,Kryvbas,UKR,1,1330.85253906,2024-05-26,2024-07-23
None,Dunajska,SLK,0,1327.46850586,2024-02-23,2024-07-10
None,Polissya Zhytomyr,UKR,1,1327.17382812,2024-05-26,2024-07-23
None,Paksi,HUN,1,1326.73046875,2024-05-19,2024-07-11
None,Videoton,HUN,1,1325.14123535,2024-05-19,2024-07-11
None,Hibernian,SCO,1,1324.48461914,2024-05-20,2024-07-25
None,Haugesund,NOR,1,1323.93383789,2024-06-03,2024-07-07
None,Hapoel Jerusalem,ISR,1,1323.86108398,2024-05-19,2024-07-23
None,Pendikspor,TUR,1,1323.79040527,2024-05-27,2024-07-05
None,Sarpsborg,NOR,1,1323.62805176,2024-06-03,2024-06-28
None,Rotherham,ENG,2,1322.29956055,2024-05-10,2024-07-05
None,Altach,AUT,1,1319.66833496,2024-05-19,2024-07-25
None,IK Sirius,SWE,1,1317.74072266,2024-06-02,2024-07-06
None,Hvidovre,DEN,1,1316.58227539,2024-05-26,2024-07-05
None,Concarneau,FRA,2,1316.55969238,2024-05-18,2024-07-05
None,Ashdod,ISR,1,1314.51245117,2024-05-19,2024-07-23
None,Valenciennes,FRA,2,1314.41711426,2024-05-18,2024-07-05
None,Olimpija Ljubljana,SVN,1,1314.09484863,2024-05-20,2024-07-10
None,Netanya,ISR,1,1313.77600098,2024-05-20,2024-07-23
None,BW Linz,AUT,1,1313.46923828,2024-05-19,2024-07-25
None,Gabala,AZE,0,1311.31640625,2024-03-15,2024-07-05
None,Radomiak,POL,1,1311.18493652,2024-05-26,2024-07-11
None,OFI,GRE,1,1310.50280762,2024-05-30,2024-07-24
None,Ham-Kam,NOR,1,1309.47363281,2024-06-02,2024-06-27
None,St Mirren,SCO,1,1309.40698242,2024-05-19,2024-07-25
None,Lustenau,AUT,1,1308.21398926,2024-05-19,2024-07-05
None,Lecco,ITA,2,1307.25427246,2024-05-30,2024-07-05
None,Beitar,ISR,1,1304.0300293,2024-05-21,2024-07-23
None,Istra 1961,CRO,1,1303.92749023,2024-05-25,2024-07-25
None,Motherwell,SCO,1,1303.37487793,2024-05-20,2024-07-25
None,Kuopio,FIN,0,1301.59057617,2024-01-01,2024-07-09
None,Sandefjord,NOR,1,1300.46813965,2024-06-03,2024-06-27
None,Debrecen,HUN,1,1300.0612793,2024-05-19,2024-07-11
None,NFC Volos,GRE,1,1299.35888672,2024-05-30,2024-07-24
None,Goeteborg,SWE,1,1298.90588379,2024-06-02,2024-07-07
None,CSKA 1948 Sofia,BUL,1,1297.65649414,2024-06-01,2024-07-10
None,Varnamo,SWE,1,1296.43798828,2024-06-03,2024-07-07
None,Ruch,POL,1,1295.54528809,2024-05-26,2024-07-05
None,Kecskemeti,HUN,1,1293.97644043,2024-05-20,2024-07-11
None,Hermannstadt,ROM,1,1293.64758301,2024-05-13,2024-07-09
None,KFUM Oslo,NOR,1,1292.97277832,2024-06-03,2024-06-27
None,Olexandriya,UKR,1,1292.421875,2024-05-26,2024-07-23
None,Universitatea Cluj,ROM,1,1290.11340332,2024-05-27,2024-07-09
None,Atromitos,GRE,1,1289.99194336,2024-05-30,2024-07-24
None,HJK Helsinki,FIN,0,1289.35876465,2024-01-01,2024-07-09
None,Varazdin,CRO,1,1289.08837891,2024-05-26,2024-07-25
None,Maccabi Bnei Raina,ISR,1,1288.66577148,2024-05-26,2024-07-23
None,FK Riga,LAT,0,1285.85852051,2024-01-01,2024-07-10
None,Volendam,NED,1,1285.51074219,2024-05-20,2024-07-05
None,Panetolikos,GRE,1,1285.39282227,2024-05-30,2024-07-24
None,Ceske Budejovice,CZE,1,1285.24279785,2024-05-26,2024-07-20
None,Wattens,AUT,1,1284.0958252,2024-05-19,2024-07-25
None,Zrinjski Mostar,BHZ,0,1283.85095215,2024-01-01,2024-07-10
None,UTA Arad,ROM,1,1283.5090332,2024-05-13,2024-07-09
None,Kristiansund,NOR,1,1282.23132324,2024-06-03,2024-06-28
None,Asteras Tripolis,GRE,1,1279.1394043,2024-05-30,2024-07-24
None,Zalaegerszegi,HUN,1,1278.86889648,2024-05-20,2024-07-11
None,LNZ,UKR,1,1278.70556641,2024-05-25,2024-07-23
None,Novi Sad,SRB,1,1276.0324707,2024-05-26,2024-07-21
None,Lok Plovdiv,BUL,1,1275.76586914,2024-05-27,2024-07-10
None,Lausanne Ouchy,SUI,1,1275.68481445,2024-05-22,2024-07-05
None,Lamia,GRE,1,1274.89318848,2024-05-30,2024-07-24
None,Tescoma Zlin,CZE,1,1274.63708496,2024-05-26,2024-07-05
None,Panserraikos,GRE,1,1274.28137207,2024-05-30,2024-07-24
None,HNK Gorica,CRO,1,1273.22070312,2024-05-25,2024-07-25
None,M Petach Tikva,ISR,1,1272.57861328,2024-05-21,2024-07-23
None,Karvina,CZE,1,1272.03894043,2024-05-26,2024-07-21
None,Vorskla,UKR,1,1270.36657715,2024-05-25,2024-07-23
None,Kalmar,SWE,1,1269.70007324,2024-06-03,2024-07-07
None,Cukaricki,SRB,1,1268.39904785,2024-05-26,2024-07-20
None,H Tel Aviv,ISR,1,1266.44140625,2024-05-19,2024-07-05
None,Dundee,SCO,1,1263.12023926,2024-05-19,2024-07-25
None,Istanbulspor,TUR,1,1262.00622559,2024-05-27,2024-07-05
None,Hapoel Eran Hadera,ISR,1,1260.79956055,2024-05-19,2024-07-23
None,Norrkoeping,SWE,1,1259.3828125,2024-06-02,2024-07-08
None,Halmstad,SWE,1,1257.34594727,2024-06-02,2024-07-07
None,Pyunik,ARM,0,1255.30773926,2024-01-01,2024-07-10
None,Diosgyori,HUN,1,1254.67675781,2024-05-19,2024-07-11
None,Tobol,KAZ,0,1249.30053711,2024-01-01,2024-07-10
None,Kolos,UKR,1,1247.15319824,2024-05-26,2024-07-23
None,Arda,BUL,1,1246.28405762,2024-05-28,2024-07-10
None,Aktobe,KAZ,0,1245.42370605,2024-01-01,2024-07-10
None,Zeljeznicar,BHZ,0,1244.70947266,2024-01-01,2024-07-05
None,Slaven Belupo,CRO,1,1243.96801758,2024-05-27,2024-07-25
None,Otelul Galati,ROM,1,1241.12854004,2024-05-20,2024-07-09
None,Obolon Kyiv,UKR,1,1240.15637207,2024-05-26,2024-07-23
None,Ordabasy,KAZ,0,1239.89648438,2024-01-01,2024-07-10
None,Brommapojkarna,SWE,1,1239.67980957,2024-06-02,2024-07-06
None,Dinamo Minsk,BLR,0,1239.5748291,2024-01-01,2024-07-10
None,FK Sarajevo,BHZ,0,1239.32873535,2024-01-01,2024-07-10
None,Giannina,GRE,1,1237.38122559,2024-05-30,2024-07-05
None,Kisvarda,HUN,1,1234.77880859,2024-05-19,2024-07-05
None,Chernomorets,UKR,1,1234.26660156,2024-05-26,2024-07-23
None,Voluntari,ROM,1,1231.01318359,2024-05-13,2024-07-05
None,LKS,POL,1,1229.67346191,2024-05-26,2024-07-05
None,St Johnstone,SCO,1,1229.56921387,2024-05-20,2024-07-25
None,MTK,HUN,1,1229.04919434,2024-05-18,2024-07-11
None,RFS,LAT,0,1228.13769531,2024-01-01,2024-07-10
None,Veres,UKR,1,1227.67858887,2024-05-26,2024-07-23
None,Shkendija,MAC,0,1226.29931641,2024-01-01,2024-07-10
None,Vaasa,FIN,0,1224.85314941,2024-01-01,2024-07-09
None,Ilves Tampere,FIN,0,1224.85314941,2024-01-01,2024-07-09
None,Akureyri,ISL,0,1223.57092285,2024-01-01,2024-07-05
None,Levski Krumovgrad,BUL,1,1223.41662598,2024-05-27,2024-07-10
None,Koper,SVN,1,1220.68884277,2024-05-20,2024-07-10
None,Botosani,ROM,1,1219.31152344,2024-05-13,2024-07-09
None,Petrocub,MOL,0,1218.77075195,2024-01-01,2024-07-10
None,Petrolul Ploiesti,ROM,1,1218.1282959,2024-05-13,2024-07-09
None,Bravo,SVN,1,1216.42407227,2024-05-20,2024-07-10
None,Ross County,SCO,1,1216.38684082,2024-05-20,2024-07-25
None,Vikingur,ISL,0,1214.80200195,2024-01-01,2024-07-09
None,Ujpest,HUN,1,1214.08276367,2024-05-20,2024-07-11
None,Iasi,ROM,1,1213.36669922,2024-05-13,2024-07-09
None,Kragujevac,SRB,1,1212.13708496,2024-05-26,2024-07-19
None,Botev Plovdiv,BUL,1,1211.30383301,2024-05-28,2024-07-10
None,Zimbru,MOL,0,1210.75097656,2024-01-01,2024-07-10
None,Kifisias,GRE,1,1210.35412598,2024-05-30,2024-07-05
None,Zalgiris Vilnius,LIT,0,1210.27575684,2024-01-01,2024-07-09
None,Slavia Sofia,BUL,1,1207.19702148,2024-05-28,2024-07-10
None,Mynai,UKR,1,1206.9831543,2024-05-26,2024-07-05
None,Craiova 1948,ROM,1,1205.22106934,2024-05-13,2024-07-05
None,H Petach Tikva,ISR,1,1205.00671387,2024-05-20,2024-07-05
None,GAIS,SWE,1,1203.65698242,2024-06-02,2024-07-07
None,Drita,KOS,0,1202.73400879,2024-01-01,2024-07-09
None,Breidablik,ISL,0,1202.4699707,2024-01-01,2024-07-09
None,Domzale,SVN,1,1201.5078125,2024-05-19,2024-07-10
None,Alashkert,ARM,0,1200.12182617,2024-01-01,2024-07-05
None,Ballkani,KOS,0,1199.81555176,2024-01-01,2024-07-09
None,Mura,SVN,1,1199.04638672,2024-05-19,2024-07-10
None,Milsami Orhei,MOL,0,1197.88415527,2024-01-01,2024-07-10
None,Partizani Tirana,ALB,0,1197.4609375,2024-01-01,2024-07-10
None,Dinamo Bucuresti,ROM,1,1197.30029297,2024-05-13,2024-07-09
None,Derry City,IRL,0,1194.78149414,2024-01-01,2024-07-09
None,Dila Gori,GEO,0,1194.50598145,2024-01-01,2024-07-05
None,Auda,LAT,0,1192.19238281,2024-01-01,2024-07-10
None,Borac Banja Luka,BHZ,0,1190.14746094,2024-01-01,2024-07-10
None,Metalist 1925,UKR,1,1189.81762695,2024-05-26,2024-07-05
None,Livingston,SCO,1,1184.39672852,2024-05-20,2024-07-05
None,Batumi,GEO,0,1178.2746582,2024-01-01,2024-07-10
None,Dundalk,IRL,0,1176.00512695,2024-01-01,2024-07-05
None,Egnatia,ALB,0,1174.42944336,2024-01-01,2024-07-10
None,Shamrock,IRL,0,1173.89001465,2024-01-01,2024-07-09
None,Radomlje,SVN,1,1173.47070312,2024-05-19,2024-07-10
None,Klaksvik,FAR,0,1171.73950195,2024-01-01,2024-07-10
None,Torpedo Kutaisi,GEO,0,1171.62963867,2024-01-01,2024-07-10
None,Vllaznia,ALB,0,1169.25964355,2024-01-01,2024-07-10
None,St Patricks,IRL,0,1167.4251709,2024-01-01,2024-07-09
None,Mezokovesd-Zsory,HUN,1,1162.1628418,2024-05-18,2024-07-05
None,Ararat,ARM,0,1160.66955566,2024-01-01,2024-07-10
None,Vaesteras,SWE,1,1157.33898926,2024-06-03,2024-07-08
None,Tirana,ALB,0,1155.55859375,2024-01-01,2024-07-10
None,Valmieras,LAT,0,1153.99584961,2024-01-01,2024-07-05
None,Banants,ARM,0,1152.08911133,2024-01-01,2024-07-10
None,Hamrun,MLT,0,1145.34057617,2024-01-01,2024-07-09
None,Isloch,BLR,0,1141.70837402,2024-01-01,2024-07-10
None,Neman Grodno,BLR,0,1139.85681152,2024-01-01,2024-07-10
None,Panevezys,LIT,0,1138.43078613,2024-01-01,2024-07-09
None,Novi Pazar,SRB,1,1135.66479492,2024-05-25,2024-07-21
None,Lok Sofia,BUL,1,1134.71850586,2024-05-26,2024-07-10
None,Beroe Stara Zagora,BUL,1,1134.59204102,2024-05-26,2024-07-10
None,Dinamo Tbilisi,GEO,0,1134.5390625,2024-01-01,2024-07-10
None,Mladost Lucani,SRB,1,1133.94006348,2024-05-26,2024-07-20
None,Flora Tallinn,EST,0,1131.42407227,2024-01-01,2024-07-10
None,Rogaska,SVN,1,1130.90649414,2024-05-19,2024-07-05
None,Zlatibor,SRB,1,1123.125,2024-05-25,2024-07-21
None,Struga,MAC,0,1122.38134766,2024-01-01,2024-07-10
None,Linfield,NIR,0,1119.01037598,2024-01-01,2024-07-10
None,Hegelmann,LIT,0,1112.26757812,2024-01-01,2024-07-05
None,Blagoevgrad,BUL,1,1108.71862793,2024-05-26,2024-07-05
None,Makedonija,MAC,0,1105.08398438,2024-01-01,2024-07-05
None,Torpedo Zhodino,BLR,0,1104.54260254,2024-01-01,2024-07-10
None,Botev Vratsa,BUL,1,1104.38903809,2024-05-26,2024-07-10
None,Shkupi,MAC,0,1102.18518066,2024-01-01,2024-07-05
None,Hebar,BUL,1,1100.84326172,2024-05-26,2024-07-10
None,Kauno Zalgiris,LIT,0,1099.0090332,2024-01-01,2024-07-05
None,Aluminij,SVN,1,1098.8614502,2024-05-19,2024-07-05
None,Dukagjini,KOS,0,1095.3984375,2024-01-01,2024-07-05
None,Niedercorn,LUX,0,1092.47595215,2024-01-01,2024-07-10
None,Nis,SRB,1,1092.41503906,2024-05-25,2024-07-20
None,Gzira United,MLT,0,1091.49047852,2024-01-01,2024-07-05
None,Vozdovac Beograd,SRB,1,1090.51062012,2024-05-25,2024-07-05
None,Rudes Zagreb,CRO,1,1089.49169922,2024-05-27,2024-07-05
None,Balzan,MLT,0,1086.40185547,2024-01-01,2024-07-05
None,Crusaders,NIR,0,1086.08044434,2024-01-01,2024-07-10
None,Dudelange,LUX,0,1085.82019043,2024-01-01,2024-07-10
None,Krusevac,SRB,1,1082.99963379,2024-05-24,2024-07-19
None,IMT,SRB,1,1081.76428223,2024-05-25,2024-07-21
None,Swift Hesperange,LUX,0,1079.76623535,2024-01-01,2024-07-05
None,The New Saints,WAL,0,1079.25256348,2024-01-01,2024-07-09
None,Birkirkara,MLT,0,1078.01794434,2024-01-01,2024-07-05
None,Zeleznicar Pancevo,SRB,1,1076.27514648,2024-05-25,2024-07-19
None,B 36 Torshavn,FAR,0,1076.09387207,2024-01-01,2024-07-10
None,Differdang,LUX,0,1073.77246094,2024-01-01,2024-07-10
None,KF Gjilani,KOS,0,1073.41540527,2024-01-01,2024-07-05
None,Glentoran,NIR,0,1066.91369629,2024-01-01,2024-07-05
None,Ivanjica,SRB,1,1061.28674316,2024-05-25,2024-07-05
None,Larne,NIR,0,1055.97705078,2024-01-01,2024-07-10
None,HB Torshavn,FAR,0,1050.78149414,2024-01-01,2024-07-10
None,Gota,FAR,0,1036.10583496,2024-01-01,2024-07-10
None,Etar,BUL,1,1034.66320801,2024-05-26,2024-07-05
None,Trans Narva,EST,0,1017.82794189,2024-01-01,2024-07-05
None,Paide Linnameeskond,EST,0,1013.82318115,2024-01-01,2024-07-10
None,Arsenal Tivat,MNT,0,1012.71374512,2024-01-01,2024-07-05
None,FC Infonet,EST,0,1001.38671875,2024-01-01,2024-07-10
None,Radnik Surdulica,SRB,1,997.695678711,2024-05-25,2024-07-05
None,Haverfordwest,WAL,0,989.730102539,2024-01-01,2024-07-05
None,Connahs Quay,WAL,0,982.006530762,2024-01-01,2024-07-09
None,Podgorica,MNT,0,977.909179688,2024-01-01,2024-07-09
None,Sutjeska,MNT,0,963.651672363,2024-01-01,2024-07-05
None,Penybont,WAL,0,962.094421387,2024-01-01,2024-07-05
None,Lincoln,GIB,0,950.542419434,2024-01-01,2024-07-09
None,College Europa,GIB,0,907.217163086,2024-01-01,2024-07-05
None,Santa Coloma,AND,0,898.331298828,2024-01-01,2024-07-05
None,Escaldes,AND,0,880.996765137,2024-01-01,2024-07-09
None,FCB Magpies,GIB,0,859.597900391,2024-01-01,2024-07-09
None,Atletic Club Escaldes,AND,0,844.898071289,2024-01-01,2024-07-09
None,Cosmos,SMR,0,696.616455078,2024-01-01,2024-07-05
None,Tre Penne,SMR,0,685.460083008,2024-01-01,2024-07-09
None,La Fiorita,SMR,0,666.000732422,2024-01-01,2024-07-09


