# config/squads/club_aliases.csv — explicit squad-club -> clubelo.com `Club` alias map (P3 v0)
#
# House precedent: the odds<->model team aliases + altitude_ref dual-spelling keys.
# EXACT-MATCH JOIN ONLY. This map translates the squad-list club spelling (as published
# on the source squad pages, typically the long/common-English form) to the clubelo.com
# `Club` spelling (typically a short form). NEVER fuzzy-matched. Grown ONLY for divergences
# actually encountered in config/squads/{wc2026,wc2022,euro2024}.csv vs the three
# clubelo_*.csv snapshots. A squad club not exactly equal to a clubelo `Club` AND not in
# this map -> UNMATCHED -> logged coverage gap, never imputed.
#
# clubelo.com club spellings verified against the committed snapshots (access 2026-06-10).
squad_club,clubelo_club
Angers SCO,Angers
AS Nancy Lorraine,Nancy
AJ Auxerre,Auxerre
KAA Gent,Gent
SV Zulte Waregem,Zulte Waregem
Charlton Athletic,Charlton
Ipswich Town,Ipswich
Levante UD,Levante
Parma Calcio 1913,Parma
Heracles Almelo,Heracles
US Sassuolo Calcio,Sassuolo
Real Madrid CF,Real Madrid
TSG 1899 Hoffenheim,Hoffenheim
Villarreal CF,Villarreal
Bayer 04 Leverkusen,Leverkusen
Coventry City,Coventry
Hamburger SV,Hamburg
Fortuna Düsseldorf,Duesseldorf
FC Volendam,Volendam
SC Telstar,Telstar
Royal Charleroi SC,Charleroi
Sint-Truiden,St Truiden
PEC Zwolle,Zwolle
A.E. Kifisia,Kifisias
Kifisia,Kifisias
NEC Nijmegen,Nijmegen
NK Maribor,Maribor
Atalanta BC,Atalanta
Cercle Brugge KSV,Cercle Brugge
RC Strasbourg Alsace,Strasbourg
Derby County,Derby
RC Celta de Vigo,Celta
Udinese Calcio,Udinese
Holstein Kiel,Holstein
Club Brugge KV,Brugge
FC Barcelona,Barcelona
S.L. Benfica,Benfica
S.C. Braga,Braga
Lille OSC,Lille
Standard Liège,Standard
CA Osasuna,Osasuna
Real Oviedo,Oviedo
FCV Dender EH,Dender
FC Rostov,Rostov
AS Saint-Étienne,Saint-Etienne
Casa Pia A.C.,Casa Pia
AC Omonia,Omonia
PFC Ludogorets Razgrad,Razgrad
C.F. Estrela da Amadora,Estrela Amadora
Lechia Gdańsk,Lechia
Silkeborg IF,Silkeborg
Shamrock Rovers,Shamrock
FC Akron Tolyatti,Akron Togliatti
PFC Montana,Montana 1921
FK Bodø/Glimt,Bodoe Glimt
Bologna FC 1909,Bologna
RCD Mallorca,Mallorca
FC Zenit Saint Petersburg,Zenit
FK Borac Banja Luka,Borac Banja Luka
AEK Larnaca,Larnaca
FC Utrecht,Utrecht
KS Cracovia,Cracovia
Aarhus Gymnastikforening,Aarhus
Sarpsborg 08,Sarpsborg
US Cremonese,Cremonese
Genoa CFC,Genoa
FC Twente,Twente
Granada CF,Granada
Frosinone Calcio,Frosinone
Como 1907,Como
Elche CF,Elche
Cagliari Calcio,Cagliari
Racing de Santander,Santander
FC Nantes,Nantes
Le Havre AC,Le Havre
Widzew Łódź,Widzew
Montpellier HSC,Montpellier
FC Spartak Moscow,Spartak Moskva
FC Noah,Noah
RCD Espanyol,Espanyol
FC St. Gallen,StGallen
ŠK Slovan Bratislava,Slovan Bratislava
FC Pari Nizhny Novgorod,Nizhny Novgorod
# --- wc2022 snapshot divergences (verified vs clubelo_20221120.csv) ---
K.R.C. Genk,Genk
Odense Boldklub,Odense
ES Troyes AC,Troyes
Brescia Calcio,Brescia
R. Charleroi,Charleroi
SD Ponferradina,Ponferradina
FC Lorient,Lorient
U.S. Salernitana 1919,Salernitana
FC Luzern,Luzern
Stade Malherbe Caen,Caen
U.S. Cremonese,Cremonese
S.S.C. Napoli,Napoli
